Customer_ID,Gender,Senior_Citizen,Partner,Dependents,Contract_Type,Target,Internet_Service_Type,Phone_Service,Multiple_Lines,Tech_Support,Online_Security,Online_Backup,Device_Protection,Streaming_TV,Streaming_Movies,Plan_Price_Tier,Payment_Method,Paperless_Billing,Auto_Payment,Monthly_Charges,Total_Charges,Tenure_Months,Internet_Usage_GB,Calls_Minutes,Customer_Satisfaction_Score
C000001,female,False,True,False,month-to-month,False,dsl,no,False,False,False,True,False,False,False,Standard,electronic check,False,False,29.85,29.85,1,11.44,14.0,7.7
C000002,male,False,False,False,one year,False,dsl,yes,False,False,True,False,True,False,False,Standard,mailed check,True,False,56.95,1889.5,34,16.39,161.0,8.5
C000003,male,False,False,False,month-to-month,True,dsl,yes,False,False,True,True,False,False,False,Standard,mailed check,True,False,53.85,108.15,2,19.39,394.0,4.8
C000004,male,False,False,False,one year,False,dsl,no,False,True,True,False,True,False,False,Standard,bank transfer (automatic),True,True,42.3,1840.75,45,20.31,19.0,6.8
C000005,female,False,False,False,month-to-month,True,fiber optic,yes,False,False,False,False,False,False,False,Premium,electronic check,False,False,70.7,151.65,2,69.53,108.0,3.4
C000006,female,False,False,False,month-to-month,True,fiber optic,yes,True,False,False,False,True,True,True,Premium,electronic check,False,False,99.65,820.5,8,98.48,166.0,3.6
C000007,male,False,False,True,month-to-month,False,fiber optic,yes,True,False,False,True,False,True,False,Premium,credit card (automatic),False,True,89.1,1949.4,22,97.0,44.0,7.8
C000008,female,False,False,False,month-to-month,False,dsl,no,False,False,True,False,False,False,False,Standard,mailed check,True,False,29.75,301.9,10,12.76,3.0,7.4
C000009,female,False,True,False,month-to-month,True,fiber optic,yes,True,True,False,False,True,True,True,Premium,electronic check,False,False,104.8,3046.05,28,102.45,318.0,3.7
C000010,male,False,False,True,one year,False,dsl,yes,False,False,True,True,False,False,False,Standard,bank transfer (automatic),True,True,56.15,3487.95,62,19.56,212.0,8.0
C000011,male,False,True,True,month-to-month,False,dsl,yes,False,False,True,False,False,False,False,Standard,mailed check,True,False,49.95,587.45,13,12.67,291.0,10.0
C000012,male,False,False,False,two year,False,no,yes,False,False,False,False,False,False,False,Low,credit card (automatic),False,True,18.95,326.8,16,0.0,112.0,7.3
C000013,male,False,True,False,one year,False,fiber optic,yes,True,False,False,False,True,True,True,Premium,credit card (automatic),False,True,100.35,5681.1,58,101.56,321.0,7.3
C000014,male,False,False,False,month-to-month,True,fiber optic,yes,True,False,False,True,True,True,True,Premium,bank transfer (automatic),True,True,103.7,5036.3,49,94.13,200.0,5.3
C000015,male,False,False,False,month-to-month,False,fiber optic,yes,False,True,True,False,True,True,True,Premium,electronic check,False,False,105.5,2686.05,25,96.88,251.0,7.6
C000016,female,False,True,True,two year,False,fiber optic,yes,True,True,True,True,True,True,True,Premium,credit card (automatic),False,True,113.25,7895.15,69,110.44,241.0,9.4
C000017,female,False,False,False,one year,False,no,yes,False,False,False,False,False,False,False,Low,mailed check,True,False,20.65,1022.95,52,0.0,135.0,6.8
C000018,male,False,False,True,two year,False,fiber optic,yes,True,False,True,False,True,True,True,Premium,bank transfer (automatic),True,True,106.7,7382.25,71,108.27,146.0,10.0
C000019,female,False,True,True,month-to-month,True,dsl,yes,False,True,False,False,True,False,False,Standard,credit card (automatic),False,True,55.2,528.35,10,12.02,337.0,4.8
C000020,female,False,False,False,month-to-month,False,fiber optic,yes,False,False,False,True,True,False,True,Premium,electronic check,False,False,90.05,1862.9,21,82.99,285.0,7.5
C000021,male,True,False,False,month-to-month,True,dsl,no,False,False,False,False,True,False,True,Standard,electronic check,False,False,39.65,39.65,1,19.22,18.0,3.7
C000022,male,False,True,False,one year,False,no,yes,False,False,False,False,False,False,False,Low,bank transfer (automatic),True,True,19.8,202.25,12,0.0,279.0,7.6
C000023,male,False,False,False,month-to-month,True,no,yes,False,False,False,False,False,False,False,Low,mailed check,True,False,20.15,20.15,1,0.54,262.0,5.8
C000024,female,False,True,False,two year,False,dsl,yes,True,True,False,True,False,False,False,Standard,credit card (automatic),False,True,59.9,3505.1,58,10.85,94.0,6.2
C000025,male,False,True,True,month-to-month,False,dsl,yes,False,True,True,True,False,False,False,Standard,credit card (automatic),False,True,59.6,2970.3,49,15.16,225.0,7.2
C000026,female,False,False,False,month-to-month,False,dsl,yes,False,False,True,True,False,False,False,Standard,bank transfer (automatic),True,True,55.3,1530.6,30,17.14,247.0,7.1
C000027,male,False,True,True,month-to-month,True,fiber optic,yes,True,False,False,True,False,True,True,Premium,electronic check,False,False,99.35,4749.15,47,93.6,425.0,4.7
C000028,male,False,True,True,month-to-month,True,dsl,no,False,False,False,True,False,False,False,Standard,electronic check,False,False,30.2,30.2,1,10.94,15.0,4.1
C000029,male,False,True,False,two year,False,dsl,yes,True,True,True,True,True,True,True,Standard,credit card (automatic),False,True,90.25,6369.45,72,24.07,388.0,6.0
C000030,female,False,False,True,month-to-month,True,dsl,yes,False,False,False,False,False,True,True,Standard,mailed check,True,False,64.7,1093.1,17,17.95,303.0,4.2
C000031,female,True,True,False,two year,False,fiber optic,yes,True,True,True,True,True,False,False,Premium,credit card (automatic),False,True,96.35,6766.95,71,93.34,185.0,8.0
C000032,male,True,True,False,month-to-month,False,fiber optic,yes,False,False,False,False,True,True,True,Premium,credit card (automatic),False,True,95.5,181.65,2,104.76,260.0,6.8
C000033,female,False,True,True,one year,False,dsl,yes,False,True,True,True,True,False,False,Standard,mailed check,True,False,66.15,1874.45,27,19.78,271.0,8.4
C000034,male,False,False,False,month-to-month,False,no,yes,False,False,False,False,False,False,False,Low,bank transfer (automatic),True,True,20.2,20.2,1,0.0,165.0,9.0
C000035,male,True,False,False,month-to-month,False,dsl,yes,False,False,False,False,False,False,False,Standard,bank transfer (automatic),True,True,45.25,45.25,1,17.69,215.0,7.6
C000036,female,False,True,True,two year,False,fiber optic,yes,True,True,True,True,False,True,False,Premium,bank transfer (automatic),True,True,99.9,7251.7,72,93.8,231.0,8.1
C000037,male,False,False,False,month-to-month,True,fiber optic,yes,False,False,False,False,False,False,False,Premium,electronic check,False,False,69.7,316.9,5,70.74,394.0,2.2
C000038,female,False,False,False,month-to-month,False,fiber optic,yes,False,False,False,False,True,False,False,Premium,credit card (automatic),False,True,74.8,3548.3,46,65.0,62.0,7.9
C000039,male,False,False,False,month-to-month,True,fiber optic,yes,True,False,False,True,True,True,True,Premium,electronic check,False,False,106.35,3549.25,34,99.71,358.0,5.8
C000040,female,False,False,False,month-to-month,True,fiber optic,yes,True,False,False,False,True,True,True,Premium,bank transfer (automatic),True,True,97.85,1105.4,11,98.83,165.0,4.3
C000041,male,False,True,True,one year,False,dsl,yes,False,False,False,True,False,False,False,Standard,mailed check,True,False,49.55,475.7,10,18.56,126.0,6.9
C000042,female,False,True,True,two year,False,dsl,yes,True,False,True,True,False,True,False,Standard,credit card (automatic),False,True,69.2,4872.35,70,21.62,356.0,10.0
C000043,female,False,True,True,one year,False,no,yes,False,False,False,False,False,False,False,Low,mailed check,True,False,20.75,418.25,17,0.0,315.0,9.9
C000044,female,False,False,False,two year,False,dsl,yes,True,True,True,True,True,True,False,Standard,credit card (automatic),False,True,79.85,4861.45,63,22.45,362.0,8.5
C000045,female,False,True,False,month-to-month,False,dsl,yes,True,True,True,True,False,True,False,Standard,electronic check,False,False,76.2,981.45,13,15.47,322.0,8.8
C000046,female,False,False,False,month-to-month,False,fiber optic,yes,True,False,False,False,False,False,True,Premium,electronic check,False,False,84.5,3906.7,49,80.9,435.0,5.2
C000047,male,False,False,False,month-to-month,False,dsl,yes,False,False,False,True,False,False,False,Standard,mailed check,True,False,49.25,97.0,2,12.47,300.0,6.5
C000048,female,False,False,False,month-to-month,True,fiber optic,yes,False,False,False,False,False,True,False,Premium,electronic check,False,False,80.65,144.15,2,85.94,235.0,4.2
C000049,male,False,False,False,two year,False,dsl,yes,True,True,True,False,False,True,True,Standard,credit card (automatic),False,True,79.75,4217.8,52,25.64,280.0,7.7
C000050,female,False,True,True,two year,False,dsl,yes,True,True,True,False,True,False,False,Standard,credit card (automatic),False,True,64.15,4254.1,69,10.43,361.0,7.4
C000051,female,True,False,False,month-to-month,False,fiber optic,yes,True,False,False,True,False,True,False,Premium,electronic check,False,False,90.25,3838.75,43,91.87,179.0,5.0
C000052,female,False,False,False,month-to-month,True,fiber optic,yes,False,False,True,True,False,True,True,Premium,credit card (automatic),False,True,99.1,1426.4,15,97.17,191.0,5.2
C000053,female,True,True,False,month-to-month,False,dsl,yes,True,True,True,False,False,True,False,Standard,credit card (automatic),False,True,69.5,1752.65,25,17.47,222.0,8.3
C000054,female,True,True,False,month-to-month,True,fiber optic,yes,True,False,False,True,False,False,False,Premium,credit card (automatic),False,True,80.65,633.3,8,83.71,60.0,6.5
C000055,female,True,True,True,one year,False,dsl,yes,False,True,True,True,True,False,True,Standard,credit card (automatic),False,True,74.85,4456.35,60,27.61,262.0,6.6
C000056,male,True,False,False,month-to-month,True,fiber optic,yes,True,False,False,False,False,True,True,Premium,electronic check,False,False,95.45,1752.55,18,100.11,80.0,3.9
C000057,female,False,True,True,one year,False,fiber optic,yes,True,False,True,False,False,True,True,Premium,credit card (automatic),False,True,99.65,6311.2,63,95.45,254.0,4.6
C000058,male,True,True,True,one year,False,fiber optic,yes,True,True,False,True,True,True,True,Premium,electronic check,False,False,108.45,7076.35,66,106.9,327.0,7.9
