Activity_ID,Customer_ID,Plan_ID,PaymentMethod_ID,Date_ID,Monthly_Charges,Total_Charges,Tenure_Months,Internet_Usage_GB,Calls_Minutes,Customer_Satisfaction_Score
A0000001,C000001,P001,PM002,20190117,29.85,29.85,1,11.44,14,7.7
A0000002,C000002,P002,PM004,20211217,56.95,1889.5,34,16.39,161,8.5
A0000003,C000003,P003,PM004,20211003,53.85,108.15,2,19.39,394,4.8
A0000004,C000004,P004,PM006,20230218,42.3,1840.75,45,20.31,19,6.8
A0000005,C000005,P005,PM002,20230702,70.7,151.65,2,69.53,108,3.4
A0000006,C000006,P006,PM002,20210216,99.65,820.5,8,98.48,166,3.6
A0000007,C000007,P007,PM008,20180802,89.1,1949.4,22,97,44,7.8
A0000008,C000008,P008,PM004,20190719,29.75,301.9,10,12.76,3,7.4
A0000009,C000009,P009,PM002,20200102,104.8,3046.05,28,102.45,318,3.7
A0000010,C000010,P003,PM006,20190315,56.15,3487.95,62,19.56,212,8
A0000011,C000011,P010,PM004,20220508,49.95,587.45,13,12.67,291,10
A0000012,C000012,P011,PM008,20190921,18.95,326.8,16,0,112,7.3
A0000013,C000013,P006,PM008,20200621,100.35,5681.1,58,101.56,321,7.3
A0000014,C000014,P012,PM006,20220110,103.7,5036.3,49,94.13,200,5.3
A0000015,C000015,P013,PM002,20190130,105.5,2686.05,25,96.88,251,7.6
A0000016,C000016,P014,PM008,20180904,113.25,7895.15,69,110.44,241,9.4
A0000017,C000017,P011,PM004,20220625,20.65,1022.95,52,0,135,6.8
A0000018,C000018,P015,PM006,20220112,106.7,7382.25,71,108.27,146,10
A0000019,C000019,P016,PM008,20231102,55.2,528.35,10,12.02,337,4.8
A0000020,C000020,P017,PM002,20210529,90.05,1862.9,21,82.99,285,7.5
A0000021,C000021,P018,PM002,20230930,39.65,39.65,1,19.22,18,3.7
A0000022,C000022,P011,PM006,20200907,19.8,202.25,12,0,279,7.6
A0000023,C000023,P011,PM004,20210425,20.15,20.15,1,0.54,262,5.8
A0000024,C000024,P019,PM008,20220329,59.9,3505.1,58,10.85,94,6.2
A0000025,C000025,P020,PM008,20190223,59.6,2970.3,49,15.16,225,7.2
A0000026,C000026,P003,PM006,20231105,55.3,1530.6,30,17.14,247,7.1
A0000027,C000027,P021,PM002,20180916,99.35,4749.15,47,93.6,425,4.7
A0000028,C000028,P001,PM002,20220228,30.2,30.2,1,10.94,15,4.1
A0000029,C000029,P022,PM008,20210622,90.25,6369.45,72,24.07,388,6
A0000030,C000030,P023,PM004,20200728,64.7,1093.1,17,17.95,303,4.2
A0000031,C000031,P024,PM008,20180715,96.35,6766.95,71,93.34,185,8
A0000032,C000032,P025,PM008,20180303,95.5,181.65,2,104.76,260,6.8
A0000033,C000033,P026,PM004,20190716,66.15,1874.45,27,19.78,271,8.4
A0000034,C000034,P011,PM006,20180209,20.2,20.2,1,0,165,9
A0000035,C000035,P027,PM006,20221103,45.25,45.25,1,17.69,215,7.6
A0000036,C000036,P028,PM006,20230731,99.9,7251.7,72,93.8,231,8.1
A0000037,C000037,P005,PM002,20230219,69.7,316.9,5,70.74,394,2.2
A0000038,C000038,P029,PM008,20200227,74.8,3548.3,46,65,62,7.9
A0000039,C000039,P012,PM002,20230220,106.35,3549.25,34,99.71,358,5.8
A0000040,C000040,P006,PM006,20180102,97.85,1105.4,11,98.83,165,4.3
A0000041,C000041,P030,PM004,20220201,49.55,475.7,10,18.56,126,6.9
A0000042,C000042,P031,PM008,20210203,69.2,4872.35,70,21.62,356,10
A0000043,C000043,P011,PM004,20200216,20.75,418.25,17,0,315,9.9
A0000044,C000044,P032,PM008,20221118,79.85,4861.45,63,22.45,362,8.5
A0000045,C000045,P033,PM002,20190218,76.2,981.45,13,15.47,322,8.8
A0000046,C000046,P034,PM002,20180729,84.5,3906.7,49,80.9,435,5.2
A0000047,C000047,P030,PM004,20230518,49.25,97,2,12.47,300,6.5
A0000048,C000048,P035,PM002,20230922,80.65,144.15,2,85.94,235,4.2
A0000049,C000049,P036,PM008,20231226,79.75,4217.8,52,25.64,280,7.7
A0000050,C000050,P037,PM008,20220703,64.15,4254.1,69,10.43,361,7.4
A0000051,C000051,P007,PM002,20220503,90.25,3838.75,43,91.87,179,5
A0000052,C000052,P038,PM008,20191227,99.1,1426.4,15,97.17,191,5.2
A0000053,C000053,P039,PM008,20211113,69.5,1752.65,25,17.47,222,8.3
A0000054,C000054,P040,PM008,20210506,80.65,633.3,8,83.71,60,6.5
A0000055,C000055,P041,PM008,20180417,74.85,4456.35,60,27.61,262,6.6
A0000056,C000056,P042,PM002,20181123,95.45,1752.55,18,100.11,80,3.9
A0000057,C000057,P043,PM008,20191006,99.65,6311.2,63,95.45,254,4.6
A0000058,C000058,P044,PM002,20181223,108.45,7076.35,66,106.9,327,7.9
A0000059,C000059,P045,PM008,20210731,24.95,894.3,34,1.91,207,8.7
A0000060,C000060,P009,PM008,20190523,107.5,7853.7,72,112.38,400,7.1
A0000061,C000061,P006,PM002,20231124,100.5,4707.1,47,98.1,118,10
A0000062,C000062,P007,PM006,20201225,89.9,5450.7,60,88.97,357,7.4
A0000063,C000063,P046,PM006,20180714,42.1,2962,72,7.1,15,7.9
A0000064,C000064,P016,PM008,20210426,54.4,957.1,18,10.34,95,6.1
A0000065,C000065,P042,PM002,20180216,94.4,857.25,9,98.46,493,5.1
A0000066,C000066,P047,PM002,20211017,75.3,244.1,3,29.37,244,5.3
A0000067,C000067,P040,PM002,20220521,78.9,3650.35,47,78.54,171,9
A0000068,C000068,P048,PM004,20220219,79.2,2497.2,31,28.78,123,8.8
A0000069,C000069,P011,PM006,20200426,20.15,930.9,50,2.01,230,9.6
A0000070,C000070,P049,PM004,20220522,79.85,887.35,10,76.62,238,7.1
A0000071,C000071,P050,PM004,20191210,49.05,49.05,1,16.52,259,8.2
A0000072,C000072,P011,PM002,20200318,20.4,1090.65,52,7.89,223,8.7
A0000073,C000073,P051,PM006,20180425,111.6,7099,64,111.42,306,8.3
A0000074,C000074,P045,PM006,20190923,24.25,1424.6,62,8.07,215,7
A0000075,C000075,P052,PM006,20180716,64.5,177.4,3,6.25,75,5
A0000076,C000076,P053,PM002,20190205,110.5,6139.5,56,114.61,236,8.4
A0000077,C000077,P054,PM008,20230802,55.65,2688.85,46,17.13,36,7.4
A0000078,C000078,P003,PM004,20180317,54.65,482.25,8,14.9,281,7.7
A0000079,C000079,P055,PM002,20211220,74.75,2111.3,30,22.88,161,8.9
A0000080,C000080,P045,PM008,20181014,25.9,1216.6,45,0,264,7.6
A0000081,C000081,P035,PM002,20220418,79.35,79.35,1,78.25,368,3.1
A0000082,C000082,P056,PM002,20210815,50.55,565.35,11,16.95,2,5.5
A0000083,C000083,P029,PM006,20200510,75.15,496.9,7,82.54,345,3.5
A0000084,C000084,P057,PM006,20200112,103.8,4327.5,42,101.21,210,10
A0000085,C000085,P011,PM006,20220927,20.15,973.35,49,0,407,8.7
A0000086,C000086,P021,PM008,20200319,99.3,918.75,9,96.79,217,8.4
A0000087,C000087,P058,PM006,20230514,62.15,2215.45,35,23.22,174,7.3
A0000088,C000088,P011,PM006,20190218,20.65,1057,48,1.85,311,7.7
A0000089,C000089,P011,PM004,20190307,19.95,927.1,46,0,210,9.4
A0000090,C000090,P059,PM004,20221219,33.75,1009.25,29,12.69,3,7.2
A0000091,C000091,P060,PM006,20210607,82.05,2570.2,30,82.54,206,8.9
A0000092,C000092,P061,PM002,20230403,74.7,74.7,1,79.54,245,7.5
A0000093,C000093,P062,PM004,20210902,84,5714.25,66,21.69,370,10
A0000094,C000094,P053,PM008,20190628,111.05,7107,65,109.41,75,9.3
A0000095,C000095,P012,PM006,20220223,100.9,7459.05,72,98.94,252,9.2
A0000096,C000096,P063,PM002,20211112,78.95,927.35,12,71.63,306,4.1
A0000097,C000097,P064,PM008,20180313,66.85,4748.7,71,21.54,267,9.4
A0000098,C000098,P011,PM004,20201019,21.05,113.85,5,1.52,367,4.5
A0000099,C000099,P011,PM006,20190616,21,1107.2,52,0.24,243,8.1
A0000100,C000100,P065,PM002,20190731,98.5,2514.5,25,97.33,233,6
A0000101,C000101,P011,PM004,20210117,20.2,20.2,1,0,303,6.8
A0000102,C000102,P011,PM002,20230430,19.45,19.45,1,0,258,8.4
A0000103,C000103,P066,PM006,20191214,95,3605.6,38,93.29,214,8.3
A0000104,C000104,P067,PM006,20220408,45.55,3027.25,66,9.65,14,8.7
A0000105,C000105,P044,PM006,20191004,110,7611.85,68,109.19,191,4.4
A0000106,C000106,P068,PM004,20200322,24.3,100.2,5,9.31,5,10
