Date_ID,Full_Date,Year,Quarter,Month,Month_Name,Weekday
20180101,01/01/2018,2018,2018Q1,1,January,Monday
20180102,02/01/2018,2018,2018Q1,1,January,Tuesday
20180103,03/01/2018,2018,2018Q1,1,January,Wednesday
20180104,04/01/2018,2018,2018Q1,1,January,Thursday
20180105,05/01/2018,2018,2018Q1,1,January,Friday
20180106,06/01/2018,2018,2018Q1,1,January,Saturday
20180107,07/01/2018,2018,2018Q1,1,January,Sunday
20180108,08/01/2018,2018,2018Q1,1,January,Monday
20180109,09/01/2018,2018,2018Q1,1,January,Tuesday
20180110,10/01/2018,2018,2018Q1,1,January,Wednesday
20180111,11/01/2018,2018,2018Q1,1,January,Thursday
20180112,12/01/2018,2018,2018Q1,1,January,Friday
20180113,13/01/2018,2018,2018Q1,1,January,Saturday
20180114,14/01/2018,2018,2018Q1,1,January,Sunday
20180115,15/01/2018,2018,2018Q1,1,January,Monday
20180116,16/01/2018,2018,2018Q1,1,January,Tuesday
20180117,17/01/2018,2018,2018Q1,1,January,Wednesday
20180118,18/01/2018,2018,2018Q1,1,January,Thursday
20180119,19/01/2018,2018,2018Q1,1,January,Friday
20180120,20/01/2018,2018,2018Q1,1,January,Saturday
20180121,21/01/2018,2018,2018Q1,1,January,Sunday
20180122,22/01/2018,2018,2018Q1,1,January,Monday
20180123,23/01/2018,2018,2018Q1,1,January,Tuesday
20180124,24/01/2018,2018,2018Q1,1,January,Wednesday
20180125,25/01/2018,2018,2018Q1,1,January,Thursday
20180126,26/01/2018,2018,2018Q1,1,January,Friday
20180127,27/01/2018,2018,2018Q1,1,January,Saturday
20180128,28/01/2018,2018,2018Q1,1,January,Sunday
20180129,29/01/2018,2018,2018Q1,1,January,Monday
20180130,30/01/2018,2018,2018Q1,1,January,Tuesday
20180131,31/01/2018,2018,2018Q1,1,January,Wednesday
20180201,01/02/2018,2018,2018Q1,2,February,Thursday
20180202,02/02/2018,2018,2018Q1,2,February,Friday
20180203,03/02/2018,2018,2018Q1,2,February,Saturday
20180204,04/02/2018,2018,2018Q1,2,February,Sunday
20180205,05/02/2018,2018,2018Q1,2,February,Monday
